E3-5 – Impacto financiero y riesgos asociados al agua y recursos marinos,"Efectos financieros esperados de riesgos y oportunidades relacionados con el agua y recursos marinos; incluye impactos en productos y servicios, gastos y provisiones, supuestos críticos y horizonte temporal. Permite cuantificar riesgos financieros asociados a escasez, contaminación o regulación del agua.","Todos los sectores con dependencia significativa de agua o exposición a recursos marinos: industria química, energía, alimentación, agricultura, acuicultura, pesca, turismo costero"
Bloque,Descripción resumida,Sectores clave
E4-1 – Estrategia y resiliencia del modelo de negocio,"Evaluación de la resiliencia del modelo de negocio frente a riesgos físicos, de transición y sistémicos relacionados con biodiversidad y ecosistemas. Incluye transición de la estrategia, ajustes del modelo, identificación de impactos en cadena de valor, inversión y financiación para implementar planes, objetivos y métricas de seguimiento, e inclusión de compensaciones de biodiversidad.","Agricultura, alimentación, forestal, pesca, acuicultura, minería, energía, construcción, infraestructura, turismo"
E4-2 – Políticas de biodiversidad y ecosistemas,"Políticas para gestionar impactos, riesgos, dependencias y oportunidades sobre biodiversidad y ecosistemas. Incluye trazabilidad de productos y materias primas, producción y consumo sostenible, prácticas de océanos y tierras sostenibles, deforestación y estándares de terceros verificables (ISEAL, ISO). También cubre sitios operativos en áreas sensibles y conservación de ecosistemas.","Agricultura, alimentación, forestal, pesca, acuicultura, minería, energía, construcción"
E4-3 – Acciones y recursos implementados,"Acciones y recursos aplicados según jerarquía de mitigación. Incluye compensaciones de biodiversidad, integración de conocimiento local e indígena, soluciones basadas en la naturaleza, consulta a comunidades afectadas, costos financieros directos e indirectos (CapEx y OpEx), acciones individuales y colectivas, seguimiento de desempeño e indicadores clave.","Agricultura, alimentación, forestal, pesca, acuicultura, minería, energía, construcción"
E4-4 – Seguimiento mediante objetivos (targets),"Objetivos de biodiversidad y ecosistemas basados en umbrales ecológicos, alineados con la Estrategia de Biodiversidad de la UE 2030. Incluye asignación de impactos, compensaciones de biodiversidad, alcance geográfico, relación con impactos, dependencias y riesgos a nivel de operaciones y cadena de valor.","Agricultura, alimentación, forestal, pesca, acuicultura, minería, energía, construcción"
"E4-5 – Medición, métricas y reportes de biodiversidad y ecosistemas","Indicadores de áreas de sitios operativos y KBA afectados, uso de suelo, cambios en ecosistemas, conectividad estructural y funcional, especies invasoras, estado de especies, cobertura y calidad de ecosistemas. Información desglosada por sitio, tipo de impacto y evolución temporal.","Agricultura, alimentación, forestal, pesca, acuicultura, minería, energía, construcción"
E4-6 – Impacto financiero y riesgos asociados a biodiversidad y ecosistemas,"Efectos financieros esperados de riesgos y oportunidades relacionados con biodiversidad y ecosistemas; incluye impactos en productos y servicios, supuestos críticos, horizonte temporal, cuantificación de efectos financieros y evaluación de dependencias sobre servicios ecosistémicos.","Agricultura, alimentación, forestal, pesca, acuicultura, minería, energía, construcción"
Bloque,Descripción resumida,Sectores clave
E5-1 – Estrategia y políticas,"Políticas para gestionar impactos, riesgos y oportunidades relacionados con uso de recursos y economía circular. Incluye transición de recursos vírgenes a secundarios, uso sostenible de recursos renovables, jerarquía de residuos (prevención, reutilización, reciclaje, recuperación, eliminación) y priorización de estrategias de reducción sobre tratamiento.","Manufactura, construcción, energía, transporte, alimentación, textil, electrónica"
E5-2 – Acciones y recursos implementados,"Acciones operativas y recursos aplicados para aumentar eficiencia de materiales, uso de materiales secundarios, diseño circular, prácticas de negocio circulares, prevención de residuos y optimización de gestión de residuos. Incluye iniciativas colectivas y colaboración con stakeholders para aumentar circularidad de productos y materiales.","Manufactura, construcción, energía, transporte, alimentación, textil, electrónica"
E5-3 – Seguimiento mediante objetivos (targets),"Objetivos relacionados con eficiencia de recursos, diseño circular, uso de materiales secundarios, reducción de materias primas primarias, restauración de recursos renovables, gestión de residuos y otros asuntos vinculados a economía circular. Se aplican umbrales ecológicos y se identifican objetivos obligatorios por legislación.","Manufactura, construcción, energía, transporte, alimentación, textil, electrónica"
E5-4 – Medición de entradas de recursos,"Información sobre flujos de materiales y recursos, incluyendo: peso total de productos y materiales técnicos y biológicos, porcentaje de materiales biológicos, materiales secundarios reutilizados o reciclados, metodologías de cálculo, fuentes de materiales y medidas para evitar doble conteo.","Manufactura, construcción, energía, transporte, alimentación, textil, electrónica"
E5-5 – Medición de salidas de recursos y residuos,"Información sobre productos generados, durabilidad, reparabilidad, contenido reciclable en productos y envases, residuos generados, residuos peligrosos, residuos no reciclados, composición de residuos, flujos de residuos según sector, gestión de residuos al final de la vida útil y métodos de cálculo aplicados.","Manufactura, construcción, energía, transporte, alimentación, textil, electrónica"
E5-6 – Impacto financiero y riesgos asociados,"Efectos financieros esperados de riesgos y oportunidades relacionados con uso de recursos y economía circular. Incluye descripción de impactos, supuestos críticos, horizonte temporal y relación con productos y servicios en riesgo.","Manufactura, construcción, energía, transporte, alimentación, textil, electrónica"
S1.SBM-3 – Alcance de divulgación sobre propia plantilla,"Incluye todas las personas de la propia plantilla que puedan verse materialmente afectadas. Descripción de tipos de empleados y no-empleados, impactos negativos y positivos, riesgos y oportunidades, y efectos de planes de transición hacia operaciones más verdes. Riesgos específicos de trabajo forzado, trabajo infantil y geográficos.",Todos los sectores con empleados propios
S1-1 – Políticas sobre la plantilla propia,"Políticas para gestionar impactos, riesgos y oportunidades relacionados con la plantilla, incluyendo grupos específicos. Políticas de derechos humanos, compromiso con empleados, prevención de discriminación, diversidad e inclusión, medidas de remediación, y asignación de responsabilidades en alta dirección. Procedimientos de formación, selección y promoción basados en competencias y seguimiento de igualdad de oportunidades.",Todos los sectores con empleados propios
S1-2 – Compromiso y consulta con la plantilla propia,"Procesos de consulta con empleados o representantes, incluyendo identificación de personas vulnerables, frecuencia y función de responsables, acuerdos marco, evaluación de efectividad, resolución de conflictos y respeto a derechos humanos.",Todos los sectores con empleados propios
S1-3 – Mecanismos de remediación y quejas,"Canales internos y de terceros para quejas, acceso de empleados y representantes, seguimiento y monitoreo de efectividad, protección contra represalias, disponibilidad de mecanismos si no existen actualmente y plazos para implementarlos.",Todos los sectores con empleados propios
S1-4 – Acciones y recursos para la plantilla propia,"Acciones para prevenir o mitigar impactos negativos, proporcionar remediación, generar impactos positivos, seguimiento de efectividad, uso de influencia sobre relaciones comerciales, inclusión de SDGs, gestión de transición a economía verde, asignación de recursos y funciones internas responsables.",Todos los sectores con empleados propios
S1-5 – Objetivos (targets) para la plantilla propia,"Establecimiento y seguimiento de objetivos relacionados con impactos, riesgos y oportunidades de la plantilla. Involucramiento de empleados y representantes en fijación, seguimiento e identificación de mejoras, estabilidad y referencia a estándares o compromisos.",Todos los sectores con empleados propios
S1-6 – Características de la plantilla,"Número de empleados por género, contrato, región y países significativos; promedio de empleados; rotación; metodología de recopilación de datos; correspondencia con estados financieros; desglose adicional por género y región; reporte en headcount y FTE.",Todos los sectores con empleados propios
S1-7 – No-empleados en la plantilla,"Número de no-empleados (autoempleados, contratados por terceros, otros), relación contractual, tipo de trabajo, metodología de cálculo, headcount/FTE, contexto para comprensión de datos y preparación de estimaciones.",Todos los sectores con trabajadores externos
S1-8 – Negociación colectiva y representación,"Porcentaje de empleados cubiertos por convenios colectivos, cobertura por país y región, condiciones de trabajo para no cubiertos, representación mediante EWC/SE/SCE, diálogo social fuera del EEE y cobertura de no-empleados.",Todos los sectores con empleados propios y no-empleados
S1-9 – Diversidad en la plantilla,"Distribución de género en alta dirección, por edad y definiciones de top management.",Todos los sectores con empleados propios
S1-10 – Salarios adecuados,"Todos los empleados reciben salario adecuado según referencia, listado de países donde no se cumple, porcentaje de empleados y no-empleados bajo salario adecuado.",Todos los sectores con empleados propios y no-empleados
S1-11 – Protección social,"Cobertura de empleados contra pérdida de ingresos por enfermedad, desempleo, accidente laboral, maternidad/paternidad y jubilación. Desglose por país y tipo de evento, incluyendo no-empleados.",Todos los sectores con empleados propios y no-empleados
S1-12 – Personas con discapacidad,"Porcentaje de empleados con discapacidad, desglosado por género, restricciones legales sobre datos y contexto de recopilación.",Todos los sectores con empleados propios
S1-13 – Capacitación y desarrollo,"Indicadores de formación y desarrollo de habilidades, participación en revisiones de desempeño y desarrollo profesional, número promedio de horas de formación por género y categoría, cobertura de no-empleados.",Todos los sectores con empleados propios y no-empleados
S1-14 – Salud y seguridad,"Cobertura de sistemas de gestión de H&S, número de accidentes y enfermedades laborales, fatalities, días perdidos, auditorías internas/externas, cobertura de no-empleados, seguimiento de indicadores y estándares aplicados.",Todos los sectores con empleados propios y no-empleados
S1-15 – Licencias familiares,"Porcentaje de empleados con derecho a licencias familiares, utilización de licencias, desgloses por género, cobertura vía política social o convenios colectivos.",Todos los sectores con empleados propios
S1-16 – Brecha y ratios de remuneración,"Gender pay gap, ratio de remuneración total anual, contextualización de datos, desglose por categoría, ajuste por poder adquisitivo entre países.",Todos los sectores con empleados propios
S1-17 – Discriminación y derechos humanos,"Número de incidentes de discriminación, quejas, multas/compensaciones, reconciliación con estados financieros, casos graves de DDHH, papel del emprendimiento en remediación, seguimiento y contextualización de datos.",Todos los sectores con empleados propios
S2.SBM-3 – Alcance de divulgación sobre trabajadores de la cadena de valor,"Incluye todos los trabajadores de la cadena de valor que puedan verse materialmente afectados. Tipos de trabajadores por operación propia o cadena de valor, impactos negativos y positivos, riesgos y oportunidades, geografía y commodities con riesgo significativo de trabajo infantil o forzado.",Todos los sectores con proveedores o subcontratistas
S2-1 – Políticas sobre trabajadores de la cadena de valor,"Políticas para gestionar impactos, riesgos y oportunidades de la cadena de valor. Compromisos de derechos humanos, respeto a trabajadores, medidas de remediación, engagement, código de conducta de proveedores alineado con ILO, casos de no respeto a UNGP/ILO/OECD. Comunicación de políticas a stakeholders relevantes.",Todos los sectores con proveedores o subcontratistas
S2-2 – Compromiso y consulta con trabajadores de la cadena de valor,"Procesos de engagement con trabajadores o representantes (directos o proxies creíbles), etapas, frecuencia, responsables, acuerdos marco, evaluación de efectividad, inclusión de trabajadores vulnerables o marginalizados, y declaración de plazos si no hay proceso adoptado.",Todos los sectores con proveedores o subcontratistas
S2-3 – Mecanismos de remediación y quejas,"Canales internos y de terceros para que trabajadores de la cadena de valor levanten preocupaciones, confidencialidad, anonimato, seguimiento y monitoreo de efectividad, protección contra represalias, acceso por nivel organizativo, y declaración de plazos si no existen canales.",Todos los sectores con proveedores o subcontratistas
S2-4 – Acciones y recursos para la cadena de valor,"Acciones para prevenir, mitigar o remediar impactos negativos, generar impactos positivos, seguimiento de efectividad, procesos de identificación de acciones necesarias, uso de influencia sobre relaciones comerciales, participación en iniciativas industriales o multi-stakeholder, alineación con SDGs, asignación de recursos y funciones internas responsables.",Todos los sectores con proveedores o subcontratistas
S2-5 – Objetivos (targets) para la cadena de valor,"Establecimiento y seguimiento de objetivos para gestionar impactos, riesgos y oportunidades. Involucramiento de trabajadores, representantes o proxies en fijación de objetivos, seguimiento y lecciones aprendidas. Declaración de resultados previstos, estabilidad de targets y referencias a estándares o compromisos.",Todos los sectores con proveedores o subcontratistas
S3.SBM-3 – Alcance de divulgación sobre comunidades afectadas,"Incluye todas las comunidades afectadas materialmente. Tipos de comunidades por operación propia o cadena de valor, impactos negativos y positivos, riesgos y oportunidades, consideración de grupos específicos y vulnerables.",Todos los sectores con impacto social local o en cadena de suministro
S3-1 – Políticas sobre comunidades afectadas,"Políticas para gestionar impactos, riesgos y oportunidades sobre comunidades afectadas. Compromisos de derechos humanos, respeto a comunidades e indígenas, engagement, medidas de remediación, alineación con instrumentos internacionales, casos de no respeto a UNGP/ILO/OECD, comunicación de políticas.",Todos los sectores con operaciones locales significativas o proyectos sociales
S3-2 – Compromiso y consulta con comunidades afectadas,"Procesos de engagement directo con comunidades o representantes (directos o proxies creíbles), etapas, frecuencia, responsables, evaluación de efectividad, inclusión de comunidades vulnerables o indígenas, declaración de plazos si no hay proceso adoptado.",Todos los sectores con operaciones locales significativas
S3-3 – Mecanismos de remediación y quejas,"Canales internos y de terceros para que comunidades levanten preocupaciones, confidencialidad, anonimato, seguimiento y monitoreo de efectividad, protección contra represalias, acceso al nivel de operación afectada, declaración de plazos si no existen canales.",Todos los sectores con operaciones locales significativas
S3-4 – Acciones y recursos para comunidades afectadas,"Acciones para prevenir, mitigar o remediar impactos negativos, generar impactos positivos, seguimiento de efectividad, identificación de acciones necesarias, uso de influencia sobre relaciones comerciales, participación en iniciativas industriales o multi-stakeholder, alineación con SDGs, asignación de recursos y funciones internas responsables. Información sobre alcance y selección de comunidades beneficiadas.",Todos los sectores con impacto social local o proyectos de inversión comunitaria
S3-5 – Objetivos (targets) para comunidades afectadas,"Establecimiento y seguimiento de objetivos para gestionar impactos, riesgos y oportunidades. Engagement de comunidades en fijación de objetivos, seguimiento y lecciones aprendidas. Declaración de resultados previstos, estabilidad de targets y referencias a estándares o compromisos.",Todos los sectores con impacto social local o proyectos de inversión comunitaria
S4.SBM-3 – Alcance de divulgación sobre consumidores y usuarios finales,"Incluye todos los consumidores y usuarios finales que pueden verse materialmente afectados. Tipos de consumidores por operación propia o cadena de valor, impactos negativos y positivos, riesgos y oportunidades, consideración de grupos específicos y vulnerables.",Todos los sectores con productos o servicios que impactan directamente a consumidores
S4-1 – Políticas sobre consumidores y usuarios finales,"Políticas para gestionar impactos, riesgos y oportunidades sobre consumidores y usuarios finales. Compromisos de derechos humanos, respeto a consumidores, engagement, medidas de remediación, alineación con instrumentos internacionales, casos de no respeto a UNGP/ILO/OECD, comunicación de políticas.","Todos los sectores con productos, servicios o marketing directo al consumidor"
S4-2 – Compromiso y consulta con consumidores y usuarios finales,"Procesos de engagement directo con consumidores o representantes (directos o proxies creíbles), etapas, frecuencia, responsables, evaluación de efectividad, inclusión de consumidores vulnerables o grupos específicos, declaración de plazos si no hay proceso adoptado.",Todos los sectores con contacto directo o indirecto con consumidores
S4-3 – Mecanismos de remediación y quejas,"Canales internos y de terceros para que consumidores levanten preocupaciones, confidencialidad, anonimato, seguimiento y monitoreo de efectividad, protección contra represalias, acceso al nivel de operación afectada, número de quejas, declaración de plazos si no existen canales.",Todos los sectores con productos o servicios que pueden generar impactos sobre consumidores
S4-4 – Acciones y recursos para consumidores y usuarios finales,"Acciones para prevenir, mitigar o remediar impactos negativos, generar impactos positivos, seguimiento de efectividad, identificación de acciones necesarias, uso de influencia sobre relaciones comerciales, participación en iniciativas industriales o multi-stakeholder, alineación con SDGs, asignación de recursos y funciones internas responsables. Información sobre alcance e impacto de programas o procesos.",Todos los sectores con productos o servicios que afectan la experiencia o seguridad del consumidor
S4-5 – Objetivos (targets) para consumidores y usuarios finales,"Establecimiento y seguimiento de objetivos para gestionar impactos, riesgos y oportunidades. Engagement de consumidores en fijación de objetivos, seguimiento y lecciones aprendidas. Declaración de resultados previstos, estabilidad de targets y referencias a estándares o compromisos.",Todos los sectores con productos o servicios que impactan directamente a consumidores
G1.GOV-1 – Roles y competencias de los órganos de gobierno,"Divulgación del papel y la experiencia de los órganos administrativos, de gestión y de supervisión en materia de conducta empresarial.",Todos los sectores
G1-1 – Políticas de conducta y cultura corporativa,"Políticas para gestionar impactos, riesgos y oportunidades relacionados con conducta empresarial y cultura corporativa. Incluye: establecimiento y evaluación de cultura corporativa, mecanismos de reporte e investigación de conductas ilícitas o contrarias al código de conducta, anti-corrupción y anti-soborno, protección de denunciante (whistleblowers), compromiso de investigación independiente, bienestar animal, formación interna, identificación de funciones más expuestas a corrupción y soborno. También contempla obligaciones legales sobre protección de denunciantes.",Todos los sectores
G1-2 – Políticas de relaciones comerciales y cadena de suministro,"Políticas para prevenir pagos tardíos (especialmente a PYMEs), relaciones con proveedores considerando riesgos de sostenibilidad, inclusión de criterios sociales y ambientales en selección de socios comerciales.",Sectores con relaciones extensas de cadena de suministro y compras
G1-3 – Prevención y detección de corrupción y soborno,"Procedimientos para prevenir, detectar y abordar incidentes de corrupción o soborno. Separación de investigador/ comité de gestión implicada, comunicación de resultados al órgano de gobierno, comunicación de políticas a los afectados, formación en anti-corrupción, cobertura de funciones de riesgo, implicación de miembros de órganos de gestión y análisis de formación por región o categoría.",Todos los sectores
G1-4 – Acciones y recursos sobre corrupción y soborno,"Acciones y recursos para gestionar impactos, riesgos y oportunidades relacionados con corrupción y soborno: número de condenas y multas, formación anti-corrupción, incidentes confirmados y su naturaleza, medidas disciplinarias sobre trabajadores y socios, resultados de casos legales públicos.",Todos los sectores
G1-5 – Influencia política y lobbying,"Divulgación de responsables de supervisión de actividades de influencia política, contribuciones financieras o en especie, gastos de lobbying, membresías en asociaciones de lobbying, temas cubiertos en lobbying y posiciones de la entidad, registro en EU Transparency Register o equivalente, antecedentes de miembros del órgano de gobierno en administración pública, obligaciones legales de pertenencia a cámaras u organizaciones representativas.","Todos los sectores, especialmente entidades con lobby o interacción política significativa"
G1-6 – Prácticas de pago y relaciones con proveedores,"Información sobre prácticas de pago: promedio de días para pagar facturas, términos estándar de pago por categoría de proveedores, porcentaje de pagos dentro de términos, procedimientos legales pendientes por pagos tardíos, contexto de prácticas de pago.",Sectores con relaciones comerciales extensas y riesgo de pago tardío
